smiles,TC,SA,SC,atom_count
*CC(*)c1c(F)c(F)c(F)c(F)c1F,0.103,4.552457242,2.763695551,15
*CC(*)(C)c1ccccc1,0.164,4.039212638,2.314657348,11
*CC(*)(C)c1ccc(C(C)C)cc1,0.195,3.86395663,2.736255714,14
*C(F)(F)C(*)(F)c1ccccc1,0.155,3.925420196,1.809397732,13
*CC(*)c1cccc2ccccc12,0.194,3.591751349,2.59103347,14
*CC(*)c1ccc(C(C)=O)cc1,0.228,3.882471173,2.117206295,13
*CC(*)(C(=O)OC)c1ccccc1,0.142666667,3.923433049,2.175878352,14
*CC(*)(C)c1ccc(C)cc1,0.158,3.992861459,2.426621645,12
*CC(*)n1cc2ccccc2n1,0.2075,4.33961226,2.832825132,13
*CC(c1ccccn1)C(c1ccccc1)C(*)c1ccccn1,0.151,4.089378286,2.901175078,24
*CC(*)c1ccc(O)cc1,0.207333333,4.274232638,2.406268443,11
*CC(*)c1ccc(OC(C)=O)cc1,0.2005,3.861347624,2.399095824,14
*CC(*)c1ccc(CCC)cc1,0.2345,3.834319744,2.744205299,13
*CC(*)c1ccc(COCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc1,0.3,3.136359982,3.247372029,33
*CC(*)c1ccc(COCC(CC)CCCC)cc1,0.259666667,3.90994495,2.946891387,20
*CC(*)c1ccc(COCCOCCCCCCCC)cc1,0.282,3.40654704,3.047789717,23
*CC(CC(*)(C#N)C(=O)OC)c1ccccc1,0.176,4.380547524,2.419464185,18
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],0.199,7.336055731,2.785828253,18
*CC(*)O,0.436666667,6.978688097,1.493341398,5
*CC(*)C=O,0.2425,6.945298235,1.45264863,6
*CC(*)OC(=O)CCCCCCCCCCC,0.261,3.596417574,2.545197208,18
*CC(*)OC(=O)CCCCCCCCCCCCCCC,0.31475,3.421247768,2.545197208,22
*CC(*)OC(=O)CCCCCCCCCCCCCCCCC,0.305,3.373617775,2.545197208,24
*CC(*)C(C)=O,0.179,6.098370096,1.597966639,7
*CC(*)C(=O)C(C)C,0.203,5.405763945,1.990156317,9
*CC(*)(C)C(C)=O,0.167,5.717939336,1.938267077,8
*CC(*)C#N,0.207,6.957049004,1.641652013,6
*CC(*)(C)C#N,0.146333333,6.378160142,1.759447849,7
*CC(*)c1ccccn1,0.196,4.54603013,2.239721153,10
*CC(*)n1c2ccccc2c2ccccc21,0.147,3.495918161,2.835422484,17
*CC(*)OC,0.2615,6.710052081,1.576835999,6
*CC(*)OCC,0.244666667,6.003872811,1.682727578,7
*CC(*)OC(=O)CC,0.212,5.305917031,2.210544958,9
*CC(*)OC(=O)c1ccccc1,0.167,3.721692821,2.049346104,13
*CC(*)CCCN(CC(C)C)CC(C)C,0.201,4.255536162,3.539063754,16
*CC(*)O[N+](=O)[O-],0.176,6.172699863,1.738479144,8
*/C=C/C(C)C(*)C(=O)OC,0.189,5.524918227,2.304500061,11
*CC(*)OC(C)C,0.2115,5.797088324,1.431134197,8
*CC(*)CCc1ccccc1C,0.217,3.921254359,2.779502585,13
*CC(*)CCc1ccc(C)cc1,0.224,3.783712052,2.795368913,13
*CC(*)Cc1cc(C)ccc1C,0.181,4.053787656,2.708661214,13
*CC(*)Cc1ccc(C)c(C)c1,0.19,3.973032931,2.932172107,13
*CC(*)Cc1cc(C)cc(C)c1,0.175,4.093371832,2.645625807,13
*CC(*)C(=O)C1CCCCC1,0.204,4.311984492,2.437647472,12
*CC(*)C(=O)c1ccccc1O,0.144,4.07629359,2.102351593,13
*CC/C=C(/*)c1ccccc1,0.219,3.890217127,1.868396033,12
*CC(*)C(=O)c1ccc(C(C)(C)C)cc1,0.1915,3.719805392,2.442354473,16
*CC(*)C(=O)c1ccc(CC)cc1,0.199,3.737344385,2.663855884,14
*CC(*)C(=O)c1ccc(C)cc1,0.1975,3.815341063,2.341465324,13
*CC(*)OC(=O)c1ccc(OC(=O)CCC)cc1,0.223,3.552371837,2.838515425,19
*CC(*)c1cccs1,0.1995,4.94299754,2.160740777,9
*C1Cc2ccccc2C1*,0.13,4.635708178,2.468062865,11
*CCC/C=C(/*)c1ccc(OC)cc1,0.239,3.58706169,2.805696788,15
*CCC/C=C(/*)c1ccccc1,0.206,3.801965738,2.579466812,13
*CCC/C=C(/*)c1ccc(Cl)cc1,0.184,3.774280586,2.799810221,14
*CC(*)CNc1ccc([N+](=O)[O-])cc1,0.236,3.883303732,2.225171942,15
*CC(*)CNc1ccc([N+](=O)[O-])cn1,0.192,4.233388535,2.436172781,15
*CC(*)CNc1ccc([N+](=O)[O-])cc1C,0.209,3.950337414,2.573091304,16
*CC(*)CNc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,0.188,3.997361553,2.891434179,19
*CC(*)CNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0.182,3.930110805,2.465355325,18
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,0.296,4.004602305,4.135361336,36
*CCC1CC(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)CC1*,0.299,4.060285617,4.325466094,37
*CC(*)n1ccnc1,0.194,5.366795078,1.982732933,9
*CC(*)OC(=O)CCCCCCCCCCCCCCCCCCCCC,0.371,3.304079554,2.545197208,28
*CC(*)OCCCCCCCCCCCCCCCCCC,0.38725,3.365436379,2.650368317,23
*CC(*)OC(=O)c1ccc(C#N)cc1,0.179,3.838742756,2.372263796,15
*CC(*)OCC(C)(C)CC(C)C,0.225,5.003400164,2.613332939,13
*C(F)(F)C(*)(F)OC(F)C(F)F,0.096,5.690925259,2.5754827,13
*CC(*)C(=O)c1ccc(Br)cc1,0.133,3.94936392,1.95125496,13
*CC(*)OC(=O)CC1CCCC1,0.22,4.284604359,2.464452774,13
*CC(*)N1CCCC1=O,0.195,4.96253654,2.500617729,10
*CC(*)C(=O)O,0.215,6.012654259,1.712525158,7
*CC(*)C(=O)OC,0.214,5.463576017,1.858321851,8
*CC(*)C(=O)OCC,0.2305,5.019819372,1.731992229,9
*CC(*)C(=O)OCCCC,0.2075,4.513030728,2.461062195,11
*CC(*)C(=O)OCCCCCC,0.2565,4.1081437,2.700456845,13
*CC(*)C(=O)OCCCCCCCCCCCCCC,0.3215,3.457792845,2.700456845,21
*CC(*)C(=O)OCCCCCCCCCCCCCCCC,0.362666667,3.398669353,2.700456845,23
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,0.3795,3.360434914,2.700456845,25
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,0.3585,3.279730322,2.700456845,29
*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,0.112,4.768050328,2.296777126,17
*CC(*)(C)C(=O)OC,0.1595,5.222390519,1.954460208,9
*CC(*)(C)C(=O)OCC,0.17,4.835133668,1.654836585,10
*CC(*)(C)C(=O)OCCCC,0.203,4.404151828,2.223153367,12
*CC(*)(C)C(=O)OC(C)CC,0.182,4.978370991,2.500648397,12
*CC(*)(C)C(=O)OC(C)(C)C,0.1525,4.605592112,1.982669098,12
*CC(*)(C)C(=O)OCCCCCC,0.184,4.046460164,2.451969631,14
*CC(*)(C)C(=O)OCCCCCCCC,0.2415,3.813968899,2.451969631,16
*CC(*)(C)C(=O)OCCCCCCCCCCCC,0.2665,3.540160405,2.451969631,20
*CC(*)(C)C(=O)OCCCCCCCCCCCCCC,0.3115,3.461886706,2.451969631,22
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,0.317,3.375570706,2.451969631,26
*CC(*)(C)C(=O)OC1CCCCC1,0.224,4.145139122,2.374137607,14
*CC(*)(C)C(=O)OC1CCCCC1C,0.153,4.687465799,2.701252487,15
*CC(*)(C)C(=O)OC1CCC(C)CC1,0.171,4.228670036,2.812976209,15
*CC(*)(C)C(=O)OC1CCCC(C)C1,0.1545,4.69986503,2.772873539,15
*CC(*)(C)C(=O)OC1CC(C)CC(C)(C)C1,0.146,4.859604192,2.895311822,17
*CC(*)(C)C(=O)Oc1ccccc1,0.184,3.772101875,2.067404849,14
*CC(*)(C)C(=O)Oc1ccccc1C,0.1905,3.820450805,2.152895567,15
*CC(*)(C)C(=O)OCc1ccccc1,0.1755,3.617015177,2.038416872,15
*CC(*)(C)C(=O)OCCc1ccccc1,0.168,3.604205742,2.496667684,16
*CC(*)(C)C(=O)Oc1ccc2ccccc2c1,0.164,3.500463728,2.073237472,18
*CC(*)(C)C(=O)OCCF,0.168,5.116246264,2.776942332,11
*CC(*)(C)C(=O)OCCCl,0.1325,4.994884726,2.097986471,11
*CC(*)(C)C(=O)OCCBr,0.128,5.110529781,2.211202496,11
*CC(*)(C)C(=O)OC(C)C(F)(F)F,0.114,5.031273364,2.46147234,14
*CC(*)(C)C(=O)OC(C(F)(F)F)C(F)(F)F,0.0755,4.712895356,2.084358561,17
*CC(*)(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,0.069,4.65390347,2.113403951,18
*CC(*)(C)C(=O)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,0.0465,4.672394076,2.364030468,21
*CC(*)(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)Cl,0.069,5.070351475,2.285184386,18
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0735,4.322513427,2.136670707,31
*CC(*)(C)C(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.083,4.323413553,2.435231137,19
*CC(*)(C)C(=O)OCc1ccccc1Cl,0.159,3.742210401,2.313063453,16
*CC(*)(C)C(=O)OCCOCC,0.212,4.377631509,2.241656238,13
*CC(*)(C)C(=O)OCC1CCCO1,0.172,4.565011635,2.166154036,14
*CC(*)(C)C(=O)OCc1ccco1,0.172,4.249426167,2.255457874,14
*CC(*)(C)C(=O)OCCN(C)C,0.2005,4.48245331,2.508906369,13
*CC(*)(C)C(=O)OCCN(CC)CC,0.2375,4.212774651,2.855025477,15
